Hippo;Dist_groupe;Corde;Hippodrome;Distance;Valeur_corde;Courses;Victoires;Podiums;Taux_victoire;Taux_podium
AGEN LA GARENNE;1200;1;AGEN LA GARENNE;1200;1;2;1;1;50.0;50.0
AGEN LA GARENNE;1200;2;AGEN LA GARENNE;1200;2;2;0;0;0.0;0.0
AGEN LA GARENNE;1200;3;AGEN LA GARENNE;1200;3;2;0;0;0.0;0.0
AGEN LA GARENNE;1200;4;AGEN LA GARENNE;1200;4;2;0;1;0.0;50.0
AGEN LA GARENNE;1200;5;AGEN LA GARENNE;1200;5;2;0;2;0.0;100.0
AGEN LA GARENNE;1200;6;AGEN LA GARENNE;1200;6;2;0;0;0.0;0.0
AGEN LA GARENNE;1200;7;AGEN LA GARENNE;1200;7;2;0;1;0.0;50.0
AGEN LA GARENNE;1200;8;AGEN LA GARENNE;1200;8;1;1;1;100.0;100.0
AGEN LA GARENNE;1200;9;AGEN LA GARENNE;1200;9;1;0;0;0.0;0.0
AGEN LA GARENNE;1200;10;AGEN LA GARENNE;1200;10;1;0;0;0.0;0.0
AGEN LA GARENNE;1800;1;AGEN LA GARENNE;1800;1;4;0;2;0.0;50.0
AGEN LA GARENNE;1800;2;AGEN LA GARENNE;1800;2;4;0;1;0.0;25.0
AGEN LA GARENNE;1800;3;AGEN LA GARENNE;1800;3;4;0;1;0.0;25.0
AGEN LA GARENNE;1800;4;AGEN LA GARENNE;1800;4;4;2;2;50.0;50.0
AGEN LA GARENNE;1800;5;AGEN LA GARENNE;1800;5;4;0;1;0.0;25.0
AGEN LA GARENNE;1800;6;AGEN LA GARENNE;1800;6;4;0;0;0.0;0.0
AGEN LA GARENNE;1800;7;AGEN LA GARENNE;1800;7;4;0;2;0.0;50.0
AGEN LA GARENNE;1800;8;AGEN LA GARENNE;1800;8;4;1;2;25.0;50.0
AGEN LA GARENNE;1800;9;AGEN LA GARENNE;1800;9;4;0;0;0.0;0.0
AGEN LA GARENNE;1800;10;AGEN LA GARENNE;1800;10;3;1;1;33.3;33.3
AGEN LA GARENNE;1800;11;AGEN LA GARENNE;1800;11;3;0;0;0.0;0.0
AGEN LA GARENNE;1800;12;AGEN LA GARENNE;1800;12;2;0;0;0.0;0.0
AGEN LA GARENNE;1800;13;AGEN LA GARENNE;1800;13;1;0;0;0.0;0.0
AGEN LA GARENNE;1800;14;AGEN LA GARENNE;1800;14;1;0;0;0.0;0.0
AGEN LA GARENNE;2400;1;AGEN LA GARENNE;2400;1;3;0;0;0.0;0.0
AGEN LA GARENNE;2400;2;AGEN LA GARENNE;2400;2;3;1;3;33.3;100.0
AGEN LA GARENNE;2400;3;AGEN LA GARENNE;2400;3;3;2;2;66.7;66.7
AGEN LA GARENNE;2400;4;AGEN LA GARENNE;2400;4;3;0;1;0.0;33.3
AGEN LA GARENNE;2400;5;AGEN LA GARENNE;2400;5;3;0;1;0.0;33.3
AGEN LA GARENNE;2400;6;AGEN LA GARENNE;2400;6;3;0;0;0.0;0.0
AGEN LA GARENNE;2400;7;AGEN LA GARENNE;2400;7;2;0;1;0.0;50.0
AGEN LA GARENNE;2400;8;AGEN LA GARENNE;2400;8;2;0;1;0.0;50.0
AGEN LA GARENNE;2400;9;AGEN LA GARENNE;2400;9;1;0;0;0.0;0.0
AGEN LA GARENNE;2400;10;AGEN LA GARENNE;2400;10;1;0;0;0.0;0.0
AGEN LA GARENNE;2400;11;AGEN LA GARENNE;2400;11;1;0;0;0.0;0.0
AGEN LA GARENNE;2400;12;AGEN LA GARENNE;2400;12;1;0;0;0.0;0.0
AGEN LA GARENNE;3200;1;AGEN LA GARENNE;3200;1;1;0;0;0.0;0.0
AGEN LA GARENNE;3200;2;AGEN LA GARENNE;3200;2;1;0;1;0.0;100.0
AGEN LA GARENNE;3200;3;AGEN LA GARENNE;3200;3;1;0;0;0.0;0.0
AGEN LA GARENNE;3200;4;AGEN LA GARENNE;3200;4;1;0;0;0.0;0.0
AGEN LA GARENNE;3200;5;AGEN LA GARENNE;3200;5;1;0;1;0.0;100.0
AGEN LA GARENNE;3200;6;AGEN LA GARENNE;3200;6;1;1;1;100.0;100.0
AIX LES BAINS;1200;1;AIX LES BAINS;1200;1;4;0;2;0.0;50.0
AIX LES BAINS;1200;2;AIX LES BAINS;1200;2;4;1;1;25.0;25.0
AIX LES BAINS;1200;3;AIX LES BAINS;1200;3;4;0;1;0.0;25.0
AIX LES BAINS;1200;4;AIX LES BAINS;1200;4;4;2;2;50.0;50.0
AIX LES BAINS;1200;5;AIX LES BAINS;1200;5;4;0;3;0.0;75.0
AIX LES BAINS;1200;6;AIX LES BAINS;1200;6;3;0;0;0.0;0.0
AIX LES BAINS;1200;7;AIX LES BAINS;1200;7;3;0;1;0.0;33.3
AIX LES BAINS;1200;8;AIX LES BAINS;1200;8;2;0;0;0.0;0.0
