Cheval_clean;Dist_groupe;Cheval;Distance;Courses;Victoires;Podiums;Moyenne_classement;Derniere_course;Taux_victoire;Taux_podium;Jours_depuis
AABICHA;2000;AABICHA;2000;1;0;0;10.0;2026-03-23;0.0;0.0;120.0
AAJEJ;4200;AAJEJ;4200;1;0;0;12.0;2026-06-20;0.0;0.0;31.0
AALAHAB;1800;AA LAHAB;1800;1;0;1;3.0;2026-01-23;0.0;100.0;179.0
AALAHAB;2000;AA LAHAB;2000;1;0;0;4.0;2026-03-28;0.0;0.0;115.0
AALTO;1400;AALTO;1400;2;1;2;1.5;2026-07-11;50.0;100.0;10.0
AAMERICTESPECSO;1200;A AMERIC TE SPECSO;1200;1;0;0;7.0;2026-05-20;0.0;0.0;62.0
AAMERICTESPECSO;1600;A AMERIC TE SPECSO;1600;6;0;0;7.666666666666667;2026-07-15;0.0;0.0;6.0
AAMERICTESPECSO;1800;A AMERIC TE SPECSO;1800;1;0;0;10.0;2026-06-10;0.0;0.0;41.0
AARXBURN;1800;AA RX BURN;1800;1;0;0;6.0;2026-01-23;0.0;0.0;179.0
AATRUFFLE;1600;AA TRUFFLE;1600;1;0;0;5.0;2026-05-15;0.0;0.0;67.0
ABABORFEVER;2400;ABABOR FEVER;2400;2;1;1;2.5;2026-04-12;50.0;50.0;100.0
ABACAB;1000;ABACAB;1000;1;0;0;0.0;2026-05-09;0.0;0.0;73.0
ABACHI;2400;ABACHI;2400;1;0;0;8.0;2026-07-05;0.0;0.0;16.0
ABACUR;1400;ABACUR;1400;3;0;0;8.0;2026-07-17;0.0;0.0;4.0
ABACUR;1600;ABACUR;1600;3;0;1;7.333333333333333;2026-04-27;0.0;33.3;85.0
ABACUR;1800;ABACUR;1800;2;0;0;5.5;2026-06-25;0.0;0.0;26.0
ABACUR;2000;ABACUR;2000;1;0;0;5.0;2026-04-10;0.0;0.0;102.0
ABACUS;2200;ABACUS;2200;1;0;0;4.0;2026-04-19;0.0;0.0;93.0
ABACUS;2400;ABACUS;2400;2;1;1;6.5;2026-07-05;50.0;50.0;16.0
ABANA;1600;ABANA;1600;1;0;0;9.0;2026-01-18;0.0;0.0;184.0
ABANDERADAZUN;1000;ABANDERADA ZUN;1000;1;0;1;3.0;2026-05-17;0.0;100.0;65.0
ABANDERADAZUN;1400;ABANDERADA ZUN;1400;1;0;0;13.0;2026-06-07;0.0;0.0;44.0
ABANDERADOHENN;1200;ABANDERADO HENN;1200;1;0;1;2.0;2026-03-14;0.0;100.0;129.0
ABANDO;1600;ABANDO;1600;1;0;0;0.0;2026-01-05;0.0;0.0;197.0
ABANDO;2000;ABANDO;2000;1;0;0;7.0;2026-06-23;0.0;0.0;28.0
ABASHIRI;1600;ABASHIRI;1600;2;0;1;4.0;2026-05-30;0.0;50.0;52.0
ABASHIRI;1800;ABASHIRI;1800;1;0;0;8.0;2026-07-04;0.0;0.0;17.0
ABBA'SANTON;1400;ABBA'S ANTON;1400;1;0;1;3.0;2026-07-18;0.0;100.0;3.0
ABBA'SANTON;1600;ABBA'S ANTON;1600;2;0;0;6.0;2026-06-07;0.0;0.0;44.0
ABBEYROAD;1400;ABBEY ROAD;1400;1;0;1;3.0;2026-06-27;0.0;100.0;24.0
ABBEYROAD;1600;ABBEY ROAD;1600;3;1;1;4.333333333333333;2026-05-29;33.3;33.3;53.0
ABBOTSFORD;2400;ABBOTSFORD;2400;1;0;0;0.0;2026-07-19;0.0;0.0;2.0
ABBOU;1600;ABBOU;1600;1;0;0;4.0;2026-03-22;0.0;0.0;121.0
ABDULHAMID;2000;ABDULHAMID;2000;1;0;0;6.0;2026-06-21;0.0;0.0;30.0
ABDULHAMID;2200;ABDULHAMID;2200;2;0;2;2.5;2026-07-04;0.0;100.0;17.0
ABDULHAMID;2400;ABDULHAMID;2400;1;0;0;8.0;2026-07-19;0.0;0.0;2.0
ABEARAFFAIR;1000;A BEAR AFFAIR;1000;1;1;1;1.0;2026-03-28;100.0;100.0;115.0
ABEARAFFAIR;1200;A BEAR AFFAIR;1200;1;0;0;6.0;2026-06-17;0.0;0.0;34.0
ABEAUREGARD;2400;A BEAUREGARD;2400;1;0;0;6.0;2026-02-24;0.0;0.0;147.0
ABEAUREGARD;2800;A BEAUREGARD;2800;1;0;0;7.0;2026-06-20;0.0;0.0;31.0
ABEAUREGARD;3000;A BEAUREGARD;3000;3;0;0;10.666666666666666;2026-05-27;0.0;0.0;55.0
