Cheval_clean;Entraîneur_clean;Cheval;Entraîneur;Courses;Victoires;Podiums;Moyenne_classement;Derniere_course;Taux_victoire;Taux_podium;Jours_depuis
AABICHA;FROHAUT(S);AABICHA;F.ROHAUT (S);1;0;0;10.0;2026-03-23;0.0;0.0;120.0
AAJEJ;RICHARDPHILLIPS;AAJEJ;RICHARD PHILLIPS;1;0;0;12.0;2026-06-20;0.0;0.0;31.0
AALAHAB;ANTHONYGAMMELL;AA LAHAB;ANTHONY GAMMELL;2;0;1;3.5;2026-03-28;0.0;50.0;115.0
AALTO;IANWILLIAMS;AALTO;IAN WILLIAMS;2;1;2;1.5;2026-07-11;50.0;100.0;10.0
AAMERICTESPECSO;SIZEJ;A AMERIC TE SPECSO;SIZE J.;8;0;0;7.875;2026-07-15;0.0;0.0;6.0
AARXBURN;MUSABBEHALMHEIRI;AA RX BURN;MUSABBEH AL MHEIRI;1;0;0;6.0;2026-01-23;0.0;0.0;179.0
AATRUFFLE;RCMONTENEGRO;AA TRUFFLE;RC.MONTENEGRO;1;0;0;5.0;2026-05-15;0.0;0.0;67.0
ABABORFEVER;RAMONVICTORPERALTA;ABABOR FEVER;RAMON VICTOR PERALTA;2;1;1;2.5;2026-04-12;50.0;50.0;100.0
ABACAB;MARIOGABRIELPAEZ;ABACAB;MARIO GABRIEL PAEZ;1;0;0;0.0;2026-05-09;0.0;0.0;73.0
ABACHI;PETERSCHIERGEN;ABACHI;PETER SCHIERGEN;1;0;0;8.0;2026-07-05;0.0;0.0;16.0
ABACUR;RCMONTENEGRO;ABACUR;RC.MONTENEGRO;9;0;1;6.888888888888889;2026-07-17;0.0;11.1;4.0
ABACUS;SARAHSTEINBERG;ABACUS;SARAH STEINBERG;3;1;1;5.666666666666667;2026-07-05;33.3;33.3;16.0
ABANA;CLAUSTHOMAS;ABANA;CLAUS THOMAS;1;0;0;9.0;2026-01-18;0.0;0.0;184.0
