Cheval_clean;Hippo;Cheval;Hippodrome;Courses;Victoires;Podiums;Moyenne_classement;Derniere_course;Taux_victoire;Taux_podium;Jours_depuis
AABICHA;MONT DE MARSAN;AABICHA;MONT DE MARSAN;1;0;0;10.0;2026-03-23;0.0;0.0;120.0
AAJEJ;ASCOT;AAJEJ;ASCOT;1;0;0;12.0;2026-06-20;0.0;0.0;31.0
AALAHAB;MEYDAN (E.A.U);AA LAHAB;MEYDAN (E.A.U);2;0;1;3.5;2026-03-28;0.0;50.0;115.0
AALTO;NEWMARKET;AALTO;NEWMARKET;1;1;1;1.0;2026-07-11;100.0;100.0;10.0
AALTO;NEWMARKET JULY;AALTO;NEWMARKET JULY;1;0;1;2.0;2026-06-25;0.0;100.0;26.0
AAMERICTESPECSO;HAPPY VALLEY;A AMERIC TE SPECSO;HAPPY VALLEY;8;0;0;7.875;2026-07-15;0.0;0.0;6.0
AARXBURN;MEYDAN (E.A.U);AA RX BURN;MEYDAN (E.A.U);1;0;0;6.0;2026-01-23;0.0;0.0;179.0
AATRUFFLE;LA TESTE;AA TRUFFLE;LA TESTE;1;0;0;5.0;2026-05-15;0.0;0.0;67.0
ABABORFEVER;MARONAS;ABABOR FEVER;MARONAS;2;1;1;2.5;2026-04-12;50.0;50.0;100.0
ABACAB;PALERMO;ABACAB;PALERMO;1;0;0;0.0;2026-05-09;0.0;0.0;73.0
ABACHI;HAMBOURG HORN;ABACHI;HAMBOURG HORN;1;0;0;8.0;2026-07-05;0.0;0.0;16.0
ABACUR;CAGNES/MER;ABACUR;CAGNES/MER;1;0;0;8.0;2026-02-24;0.0;0.0;147.0
ABACUR;DAX;ABACUR;DAX;1;0;0;8.0;2026-07-17;0.0;0.0;4.0
ABACUR;LA CEPIERE;ABACUR;LA CEPIERE;2;0;0;8.0;2026-06-08;0.0;0.0;43.0
ABACUR;LA TESTE;ABACUR;LA TESTE;2;0;0;2.5;2026-06-25;0.0;0.0;26.0
ABACUR;LE BOUSCAT;ABACUR;LE BOUSCAT;2;0;0;11.0;2026-04-27;0.0;0.0;85.0
ABACUR;PAU;ABACUR;PAU;1;0;1;3.0;2026-01-20;0.0;100.0;182.0
ABACUS;BADEN-BADEN;ABACUS;BADEN-BADEN;1;1;1;1.0;2026-06-07;100.0;100.0;44.0
ABACUS;HAMBOURG HORN;ABACUS;HAMBOURG HORN;1;0;0;12.0;2026-07-05;0.0;0.0;16.0
ABACUS;MUNICH-RIEM;ABACUS;MUNICH-RIEM;1;0;0;4.0;2026-04-19;0.0;0.0;93.0
ABANA;DORTMUND;ABANA;DORTMUND;1;0;0;9.0;2026-01-18;0.0;0.0;184.0
