Cheval_clean;Jockey_clean;Cheval;Jockey;Courses;Victoires;Podiums;Taux_victoire;Taux_podium
AABICHA;MROMARY;AABICHA;M.ROMARY;1;0;0;0.0;0.0
AAJEJ;KIERANSHOEMARK;AAJEJ;KIERAN SHOEMARK;1;0;0;0.0;0.0
AALAHAB;RICHARDMULLEN;AA LAHAB;RICHARD MULLEN;1;0;0;0.0;0.0
AALAHAB;SAMHITCHCOTT;AA LAHAB;SAM HITCHCOTT;1;0;1;0.0;100.0
AALTO;RYANMOORE;AALTO;RYAN MOORE;1;0;1;0.0;100.0
AALTO;WILLIAMBUICK;AALTO;WILLIAM BUICK;1;1;1;100.0;100.0
AAMERICTESPECSO;ATZENIA;A AMERIC TE SPECSO;ATZENI A.;3;0;0;0.0;0.0
AAMERICTESPECSO;AVDULLAB;A AMERIC TE SPECSO;AVDULLA B.;3;0;0;0.0;0.0
AAMERICTESPECSO;MCMONAGLEDB;A AMERIC TE SPECSO;MCMONAGLE D.B.;2;0;0;0.0;0.0
AARXBURN;DANIELTUDHOPE;AA RX BURN;DANIEL TUDHOPE;1;0;0;0.0;0.0
AATRUFFLE;MFOULON;AA TRUFFLE;M.FOULON;1;0;0;0.0;0.0
ABABORFEVER;FEDERICOFABIANPIRIZ;ABABOR FEVER;FEDERICO FABIAN PIRIZ;2;1;1;50.0;50.0
ABACAB;PABLODAMIANCARRIZO;ABACAB;PABLO DAMIAN CARRIZO;1;0;0;0.0;0.0
ABACHI;BENJAMINMARIE;ABACHI;BENJAMIN MARIE;1;0;0;0.0;0.0
ABACUR;IMENDIZABAL;ABACUR;I.MENDIZABAL;4;0;1;0.0;25.0
ABACUR;MFOULON;ABACUR;M.FOULON;4;0;0;0.0;0.0
ABACUR;MPROTTI;ABACUR;M.PROTTI;1;0;0;0.0;0.0
ABACUS;RENEPIECHULEK;ABACUS;RENE PIECHULEK;3;1;1;33.3;33.3
ABANA;MIGUELLOPEZ;ABANA;MIGUEL LOPEZ;1;0;0;0.0;0.0
ABANDERADAZUN;EDISONRODRIGOROSAS;ABANDERADA ZUN;EDISON RODRIGO ROSAS;2;0;1;0.0;50.0
ABANDERADOHENN;PABLODAMIANCARRIZO;ABANDERADO HENN;PABLO DAMIAN CARRIZO;1;0;1;0.0;100.0
ABANDO;SAFFIEOSBORNE;ABANDO;SAFFIE OSBORNE;1;0;0;0.0;0.0
ABANDO;WILLIAMCARVER;ABANDO;WILLIAM CARVER;1;0;0;0.0;0.0
ABASHIRI;WBUICK;ABASHIRI;W BUICK;1;0;0;0.0;0.0
ABASHIRI;WILLIAMBUICK;ABASHIRI;WILLIAM BUICK;2;0;1;0.0;50.0
ABBA'SANTON;AMANNA-LENAWEIDLER;ABBA'S ANTON;AM.ANNA-LENA WEIDLER;2;0;0;0.0;0.0
ABBA'SANTON;EDUARDOPEDROZA;ABBA'S ANTON;EDUARDO PEDROZA;1;0;1;0.0;100.0
ABBEYROAD;AORANI;ABBEY ROAD;A.ORANI;1;1;1;100.0;100.0
ABBEYROAD;CDEMURO;ABBEY ROAD;C.DEMURO;2;0;1;0.0;50.0
ABBEYROAD;MBARZALONA;ABBEY ROAD;M.BARZALONA;1;0;0;0.0;0.0
ABBOTSFORD;COLINKEANE;ABBOTSFORD;COLIN KEANE;1;0;0;0.0;0.0
ABBOU;MADIDERRICK;ABBOU;MADI DERRICK;1;0;0;0.0;0.0
ABDULHAMID;DAVIDLISKA;ABDULHAMID;DAVID LISKA;1;0;1;0.0;100.0
ABDULHAMID;ERHANYAVUZ;ABDULHAMID;ERHAN YAVUZ;1;0;0;0.0;0.0
ABDULHAMID;MICHALABIK;ABDULHAMID;MICHAL ABIK;1;0;0;0.0;0.0
ABDULHAMID;THOREHAMMER-HANSEN;ABDULHAMID;THORE HAMMER-HANSEN;1;0;1;0.0;100.0
ABEARAFFAIR;SEANLEVEY;A BEAR AFFAIR;SEAN LEVEY;2;1;1;50.0;50.0
ABEAUREGARD;DPROVOST;A BEAUREGARD;D.PROVOST;5;0;0;0.0;0.0
ABELARDF;APOUCHIN;ABELARD F;A.POUCHIN;1;0;0;0.0;0.0
ABELARDF;BFLAMENT;ABELARD F;B.FLAMENT;1;0;0;0.0;0.0
ABELARDF;BKALYSBEKUULU;ABELARD F;B.KALYSBEK UULU;1;1;1;100.0;100.0
ABELARDF;LBOISSEAU;ABELARD F;L.BOISSEAU;2;0;0;0.0;0.0
ABELINOC;FEDERICOFABIANPIRIZ;ABELINO C;FEDERICO FABIAN PIRIZ;1;0;0;0.0;0.0
ABIAT;EHARDOUIN;ABIAT;E.HARDOUIN;4;1;2;25.0;50.0
ABIAT;LPOGGIONOVO;ABIAT;L.POGGIONOVO;1;0;0;0.0;0.0
ABIAT;TTRULLIER;ABIAT;T.TRULLIER;1;0;0;0.0;0.0
ABIEL;ALEXISEDUARDOCORDEROMESIAS;ABIEL;ALEXIS EDUARDO CORDERO MESIAS;2;0;0;0.0;0.0
ABIEL;JUANAINOSTROZA;ABIEL;JUAN A. INOSTROZA;1;0;0;0.0;0.0
ABIENTOT;JVELAZQUEZ;ABIENTOT;J VELAZQUEZ;1;0;1;0.0;100.0
ABIGAIL;MFRANCO;ABIGAIL;M FRANCO;1;0;1;0.0;100.0
ABIGAILADAMS;AGUSTINEZEQUIELLEINES;ABIGAIL ADAMS;AGUSTIN EZEQUIEL LEINES;1;0;0;0.0;0.0
ABIGAILADAMS;RESERVISTE4;ABIGAIL ADAMS;RESERVISTE 4;1;0;0;0.0;0.0
ABLEQUEEN;SIBYLLEVOGT;ABLE QUEEN;SIBYLLE VOGT;1;0;0;0.0;0.0
ABLETAI;WAYNELORDAN;ABLETAI;WAYNE LORDAN;1;0;0;0.0;0.0
ABLON;SEANLEVEY;ABLON;SEAN LEVEY;2;1;2;50.0;100.0
ABOMBADA;BENJAMINRODRIGOTRONCOSO;ABOMBADA;BENJAMIN RODRIGO TRONCOSO;1;0;0;0.0;0.0
ABOMBADA;JORGEEDUARDOZUNIGA;ABOMBADA;JORGE EDUARDO ZUNIGA;1;0;0;0.0;0.0
ABOURBONFORTOBY;IORTIZ,JR;A BOURBON FOR TOBY;I ORTIZ, JR.;1;0;1;0.0;100.0
ABOYNAMEDSUSIE;MGUYON;A BOY NAMED SUSIE;M.GUYON;1;0;0;0.0;0.0
ABOYNAMEDSUSIE;OISINMURPHY;A BOY NAMED SUSIE;OISIN MURPHY;1;0;1;0.0;100.0
ABRAHAMLINCOLN;RYANMOORE;ABRAHAM LINCOLN;RYAN MOORE;1;0;1;0.0;100.0
ABRAKADABRA;MGRANDIN;ABRAKADABRA;M.GRANDIN;1;0;0;0.0;0.0
ABRAMSCREEK;MMECLAUDIAWENDEL;ABRAMS CREEK;MME CLAUDIA WENDEL;2;0;0;0.0;0.0
ABRASSO;FVALLESKAR;ABRASSO;F.VALLE SKAR;1;0;0;0.0;0.0
ABRASSO;KVANDERBEKE;ABRASSO;K.VANDERBEKE;8;1;4;12.5;50.0
ABRASSO;RMANGIONE;ABRASSO;R.MANGIONE;1;0;0;0.0;0.0
ABRAZOS;BRIANRODRIGOENRIQUE;ABRAZOS;BRIAN RODRIGO ENRIQUE;1;0;0;0.0;0.0
ABRAZOSETERNOS;FABIOEMANUELESCOBAR;ABRAZOS ETERNOS;FABIO EMANUEL ESCOBAR;1;0;0;0.0;0.0
ABRAZOSETERNOS;WILLIAMPEREYRA;ABRAZOS ETERNOS;WILLIAM PEREYRA;1;0;0;0.0;0.0
ABRILENOFEVER;WALDEMARMACIELBOCCIA;ABRILENO FEVER;WALDEMAR MACIEL BOCCIA;4;0;4;0.0;100.0
ABRINDAR;WILLIAMPEREYRA;A BRINDAR;WILLIAM PEREYRA;1;0;1;0.0;100.0
ABRONZAL;FLEFEBVRE;ABRONZAL;F.LEFEBVRE;1;0;1;0.0;100.0
ABRONZAL;FVALLESKAR;ABRONZAL;F.VALLE SKAR;2;0;0;0.0;0.0
ABRONZAL;LGALLO;ABRONZAL;L.GALLO;2;0;1;0.0;50.0
ABSACAR;RAYDAWSON;AB SACAR;RAY DAWSON;1;0;0;0.0;0.0
ABSACKER;SIBYLLEVOGT;ABSACKER;SIBYLLE VOGT;1;0;1;0.0;100.0
ABSHREK;VICTORSALGADO;ABSHREK;VICTOR SALGADO;2;0;0;0.0;0.0
ABSOLUTE;AMADAMET;ABSOLUTE;A.MADAMET;2;0;0;0.0;0.0
ABSOLUTE;CDEMURO;ABSOLUTE;C.DEMURO;1;0;0;0.0;0.0
ABSOLUTE;CPACAUT;ABSOLUTE;C.PACAUT;1;0;0;0.0;0.0
ABSOLUTEASSIGNMENT;WAYNELORDAN;ABSOLUTEASSIGNMENT;WAYNE LORDAN;1;0;0;0.0;0.0
ABSOLUTEAWAKENED;BOWMANH;ABSOLUTE AWAKENED;BOWMAN H.;1;0;0;0.0;0.0
ABSOLUTEAWAKENED;LEUNGKC;ABSOLUTE AWAKENED;LEUNG K.C.;1;0;0;0.0;0.0
ABSOLUTEAWAKENED;PURTONZ;ABSOLUTE AWAKENED;PURTON Z.;2;0;0;0.0;0.0
ABSOLUTEAWAKENED;YEUNGML;ABSOLUTE AWAKENED;YEUNG M.L.;1;0;0;0.0;0.0
ABSOLUTEHEART;LEUNGKC;ABSOLUTE HEART;LEUNG K.C.;1;1;1;100.0;100.0
ABSOLUTEHONOR;EJZAYAS;ABSOLUTE HONOR;E J ZAYAS;1;0;0;0.0;0.0
ABSOLUTEHONOR;MHUSBANDS;ABSOLUTE HONOR;M HUSBANDS;1;1;1;100.0;100.0
ABSOLUTEHONOUR;PURTONZ;ABSOLUTE HONOUR;PURTON Z.;2;0;1;0.0;50.0
