Cheval_clean;Poids_groupe;Cheval;Valeur_poids;Courses;Victoires;Podiums;Moyenne_classement;Taux_victoire;Taux_podium
AABICHA;560;AABICHA;560;1;0;0;10.0;0.0;0.0
AAJEJ;584;AAJEJ;584;1;0;0;12.0;0.0;0.0
AALAHAB;570;AA LAHAB;570;2;0;1;3.5;0.0;50.0
AALTO;550;AALTO;550;1;1;1;1.0;100.0;100.0
AALTO;564;AALTO;564;1;0;1;2.0;0.0;100.0
AAMERICTESPECSO;564;A AMERIC TE SPECSO;564;1;0;0;10.0;0.0;0.0
AAMERICTESPECSO;570;A AMERIC TE SPECSO;570;1;0;0;5.0;0.0;0.0
AAMERICTESPECSO;574;A AMERIC TE SPECSO;574;1;0;0;6.0;0.0;0.0
AAMERICTESPECSO;584;A AMERIC TE SPECSO;584;1;0;0;10.0;0.0;0.0
AAMERICTESPECSO;590;A AMERIC TE SPECSO;590;2;0;0;8.5;0.0;0.0
AAMERICTESPECSO;594;A AMERIC TE SPECSO;594;1;0;0;5.0;0.0;0.0
AAMERICTESPECSO;600;A AMERIC TE SPECSO;600;1;0;0;10.0;0.0;0.0
AARXBURN;570;AA RX BURN;570;1;0;0;6.0;0.0;0.0
AATRUFFLE;550;AA TRUFFLE;550;1;0;0;5.0;0.0;0.0
ABABORFEVER;544;ABABOR FEVER;544;1;1;1;1.0;100.0;100.0
ABABORFEVER;554;ABABOR FEVER;554;1;0;0;4.0;0.0;0.0
ABACAB;550;ABACAB;550;1;0;0;0.0;0.0;0.0
ABACHI;580;ABACHI;580;1;0;0;8.0;0.0;0.0
ABACUR;534;ABACUR;534;1;0;0;0.0;0.0;0.0
ABACUR;570;ABACUR;570;1;0;0;8.0;0.0;0.0
ABACUR;574;ABACUR;574;2;0;0;6.5;0.0;0.0
ABACUR;584;ABACUR;584;1;0;0;11.0;0.0;0.0
ABACUR;590;ABACUR;590;2;0;1;7.0;0.0;50.0
ABACUR;600;ABACUR;600;2;0;0;8.0;0.0;0.0
ABACUS;570;ABACUS;570;2;1;1;2.5;50.0;50.0
ABACUS;580;ABACUS;580;1;0;0;12.0;0.0;0.0
ABANA;560;ABANA;560;1;0;0;9.0;0.0;0.0
