Cheval_clean;Surface;Cheval;Valeur_surface;Courses;Victoires;Podiums;Moyenne_classement;Taux_victoire;Taux_podium
AABICHA;GAZON;AABICHA;GAZON;1;0;0;10.0;0.0;0.0
AAJEJ;GAZON;AAJEJ;GAZON;1;0;0;12.0;0.0;0.0
AALAHAB;GAZON;AA LAHAB;GAZON;2;0;1;3.5;0.0;50.0
AALTO;GAZON;AALTO;GAZON;2;1;2;1.5;50.0;100.0
AAMERICTESPECSO;GAZON;A AMERIC TE SPECSO;GAZON;8;0;0;7.875;0.0;0.0
AARXBURN;GAZON;AA RX BURN;GAZON;1;0;0;6.0;0.0;0.0
AATRUFFLE;GAZON;AA TRUFFLE;GAZON;1;0;0;5.0;0.0;0.0
ABABORFEVER;GAZON;ABABOR FEVER;GAZON;2;1;1;2.5;50.0;50.0
ABACAB;GAZON;ABACAB;GAZON;1;0;0;0.0;0.0;0.0
ABACHI;GAZON;ABACHI;GAZON;1;0;0;8.0;0.0;0.0
ABACUR;GAZON;ABACUR;GAZON;9;0;1;6.888888888888889;0.0;11.1
ABACUS;GAZON;ABACUS;GAZON;3;1;1;5.666666666666667;33.3;33.3
ABANA;GAZON;ABANA;GAZON;1;0;0;9.0;0.0;0.0
ABANDERADAZUN;GAZON;ABANDERADA ZUN;GAZON;2;0;1;8.0;0.0;50.0
ABANDERADOHENN;GAZON;ABANDERADO HENN;GAZON;1;0;1;2.0;0.0;100.0
ABANDO;GAZON;ABANDO;GAZON;2;0;0;3.5;0.0;0.0
ABASHIRI;GAZON;ABASHIRI;GAZON;3;0;1;5.333333333333333;0.0;33.3
ABBA'SANTON;GAZON;ABBA'S ANTON;GAZON;3;0;1;5.0;0.0;33.3
ABBEYROAD;GAZON;ABBEY ROAD;GAZON;4;1;2;4.0;25.0;50.0
ABBOTSFORD;GAZON;ABBOTSFORD;GAZON;1;0;0;0.0;0.0;0.0
ABBOU;GAZON;ABBOU;GAZON;1;0;0;4.0;0.0;0.0
ABDULHAMID;GAZON;ABDULHAMID;GAZON;4;0;2;4.75;0.0;50.0
ABEARAFFAIR;GAZON;A BEAR AFFAIR;GAZON;2;1;1;3.5;50.0;50.0
ABEAUREGARD;GAZON;A BEAUREGARD;GAZON;5;0;0;9.0;0.0;0.0
ABELARDF;GAZON;ABELARD F;GAZON;5;1;1;6.6;20.0;20.0
ABELINOC;GAZON;ABELINO C;GAZON;1;0;0;7.0;0.0;0.0
ABIAT;GAZON;ABIAT;GAZON;6;1;2;6.833333333333333;16.7;33.3
ABIEL;GAZON;ABIEL;GAZON;3;0;0;7.0;0.0;0.0
ABIENTOT;GAZON;ABIENTOT;GAZON;1;0;1;3.0;0.0;100.0
ABIGAIL;GAZON;ABIGAIL;GAZON;1;0;1;3.0;0.0;100.0
ABIGAILADAMS;GAZON;ABIGAIL ADAMS;GAZON;2;0;0;6.0;0.0;0.0
ABLEQUEEN;GAZON;ABLE QUEEN;GAZON;1;0;0;6.0;0.0;0.0
ABLETAI;GAZON;ABLETAI;GAZON;1;0;0;6.0;0.0;0.0
ABLON;GAZON;ABLON;GAZON;2;1;2;1.5;50.0;100.0
ABOMBADA;GAZON;ABOMBADA;GAZON;2;0;0;3.5;0.0;0.0
ABOURBONFORTOBY;GAZON;A BOURBON FOR TOBY;GAZON;1;0;1;2.0;0.0;100.0
ABOYNAMEDSUSIE;GAZON;A BOY NAMED SUSIE;GAZON;2;0;1;3.0;0.0;50.0
ABRAHAMLINCOLN;GAZON;ABRAHAM LINCOLN;GAZON;1;0;1;2.0;0.0;100.0
ABRAKADABRA;GAZON;ABRAKADABRA;GAZON;1;0;0;13.0;0.0;0.0
ABRAMSCREEK;GAZON;ABRAMS CREEK;GAZON;2;0;0;4.0;0.0;0.0
ABRASSO;GAZON;ABRASSO;GAZON;10;1;4;4.7;10.0;40.0
ABRAZOOLVIDADO;GAZON;ABRAZO OLVIDADO;GAZON;1;0;0;10.0;0.0;0.0
ABRAZOS;GAZON;ABRAZOS;GAZON;1;0;0;5.0;0.0;0.0
ABRAZOSETERNOS;GAZON;ABRAZOS ETERNOS;GAZON;2;0;0;6.5;0.0;0.0
ABRILENOFEVER;GAZON;ABRILENO FEVER;GAZON;4;0;4;2.5;0.0;100.0
ABRINDAR;GAZON;A BRINDAR;GAZON;1;0;1;3.0;0.0;100.0
ABRONZAL;GAZON;ABRONZAL;GAZON;5;0;2;4.6;0.0;40.0
ABSACAR;GAZON;AB SACAR;GAZON;1;0;0;12.0;0.0;0.0
ABSACKER;GAZON;ABSACKER;GAZON;1;0;1;3.0;0.0;100.0
ABSHREK;GAZON;ABSHREK;GAZON;2;0;0;7.0;0.0;0.0
ABSOLUTE;GAZON;ABSOLUTE;GAZON;4;0;0;8.25;0.0;0.0
ABSOLUTEASSIGNMENT;GAZON;ABSOLUTEASSIGNMENT;GAZON;1;0;0;17.0;0.0;0.0
ABSOLUTEAWAKENED;GAZON;ABSOLUTE AWAKENED;GAZON;5;0;0;7.0;0.0;0.0
ABSOLUTEHEART;GAZON;ABSOLUTE HEART;GAZON;1;1;1;1.0;100.0;100.0
