Cheval_clean;Terrain_clean;Cheval;Terrain;Courses;Victoires;Podiums;Moyenne_classement;Taux_victoire;Taux_podium
AABICHA;HERBE;AABICHA;HERBE;1;0;0;10.0;0.0;0.0
AAJEJ;HERBE;AAJEJ;HERBE;1;0;0;12.0;0.0;0.0
AALAHAB;GAZON;AA LAHAB;GAZON;2;0;1;3.5;0.0;50.0
AALTO;HERBE;AALTO;HERBE;2;1;2;1.5;50.0;100.0
AAMERICTESPECSO;HERBE;A AMERIC TE SPECSO;HERBE;8;0;0;7.875;0.0;0.0
AARXBURN;GAZON;AA RX BURN;GAZON;1;0;0;6.0;0.0;0.0
AATRUFFLE;HERBE;AA TRUFFLE;HERBE;1;0;0;5.0;0.0;0.0
ABABORFEVER;GAZON;ABABOR FEVER;GAZON;1;1;1;1.0;100.0;100.0
ABABORFEVER;TROIS_ANS_ET_PLUS;ABABOR FEVER;TROIS_ANS_ET_PLUS;1;0;0;4.0;0.0;0.0
ABACAB;GAZON;ABACAB;GAZON;1;0;0;0.0;0.0;0.0
ABACHI;HERBE;ABACHI;HERBE;1;0;0;8.0;0.0;0.0
ABACUR;GAZON;ABACUR;GAZON;1;0;1;3.0;0.0;100.0
ABACUR;HERBE;ABACUR;HERBE;7;0;0;8.428571428571429;0.0;0.0
ABACUR;QUATRE_ANS_ET_PLUS;ABACUR;QUATRE_ANS_ET_PLUS;1;0;0;0.0;0.0;0.0
ABACUS;HERBE;ABACUS;HERBE;2;1;1;6.5;50.0;50.0
ABACUS;TROIS_ANS;ABACUS;TROIS_ANS;1;0;0;4.0;0.0;0.0
ABANA;QUATRE_ANS_ET_PLUS;ABANA;QUATRE_ANS_ET_PLUS;1;0;0;9.0;0.0;0.0
ABANDERADAZUN;GAZON;ABANDERADA ZUN;GAZON;1;0;1;3.0;0.0;100.0
ABANDERADAZUN;TROIS_ANS;ABANDERADA ZUN;TROIS_ANS;1;0;0;13.0;0.0;0.0
ABANDERADOHENN;QUATRE_ANS;ABANDERADO HENN;QUATRE_ANS;1;0;1;2.0;0.0;100.0
ABANDO;GAZON;ABANDO;GAZON;1;0;0;0.0;0.0;0.0
